리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
저는 그다지 인내심이 강한 사람이 아닌데도 이 게임은...이 게임 엉덩이를 뗄 수 없게 만드는 마력이 있습니다.여러분 이 갓갓겜을 절대 놓치지 마세요.정말 잠깐 했다고 생각했는데 구매한 당일 플레이 타임 12시간을 뚫어버려서 소름 돋는 건 둘째치고게임을 접한 바로 다음 날 퇴근길에서부터 오늘 농장에서 해야할 일을 생각하게 됩니다내일 일할라면 자야하는 게 분명한 시간인데.. 딱 하루만 더, 딱 하루만 더 하다보니 날밤을 새게 되네요...그나마 다행인건 '제일 가까운 계절 이벤트 하나만 딱 보고 끄자''내 남편 생일까지 버텨서 선물만 주고 끄자' 와 같은 스스로의 약속은 지켜서 다행입니다너무 오래 앉아있어서 허리도 아프고 매일매일이 피곤하고..인생이 좀 망하는 느낌이 들긴 합니다만 괜찮습니다.정말 온갖게 다있습니다. 사냥, 광부일, 낚시, 농장경영, 동물과 실랑이하기, 없는 돈 쪼개서 지푸라기 사기 등등달성해야 하는 업적 목표들도 답지 않게 상당히 많은 편이고업적들의 달성 보상들도 상당히 군침도는 것들이 많아요낚시도 처음엔 뭐 이따구로 어려운게 다있나 하면서 미뤄뒀는데한 번 빠지니까 낚시만 하고 다닙니다... 콜렉션 모아야해...그래도 역시 제일 쩌는 건 호감도 시스템입니다... 하아...도트 그래픽에 초상화도 그닥 예쁘게 그려지지 않은게 분명한데하다보면 NPC들이 너무 잘생기고 예뻐보입니다.... 특히 아저씨들이 잘생겼어요(??얼마 전에 이 게임 목표 중 하나였던 알렉스쨩과 결혼하기를 달성했는데결혼을 하면 결혼 상대 NPC가 그동안의 자기 삶을 전부 던져버리고 제 농장에만 박혀서매일매일 똑같은 대사만 되풀이하는 바람에 (미완성 컨텐츠였음) 현자타임이 잠깐 왔습니다만...이 갓겜은 패치로 알렉스쨩의 대사에 개성을 부여해줬고월요일에는 친정에 다녀올 수 있는 선처까지 내려주셨습니다.알렉스쨩과 결혼한걸 매일매일 후회하고 미안해했는데 그나마 알렉스쨩이 자신의 삶을 찾아갈 수 있어서 정말 다행이네요앞으로도 계속 주요 컨텐츠 업데이트가 계속 이루어질 모양이어서 너무나 기대됩니다.. 하아..알렉스쨩과 스파 가고싶어.....	113.7	112	172	19	2016	3	1
이게임에서 딱 한 가지만 아쉽다 한글패치는 언제쯤 가능한가 가능하면 빨리 한글패치를 해주면 좋겠다	218.0	24	2	5	2018	10	1
어느샌가 농장이 아니라 공장을 만들고 있는 것같지만 재밌음	485.1	19	14	17	2020	8	1
꿈에서도 밭을 갈고 있는 제 자신을 발견할 수 있습니다.	39.0	16	27	76	2019	5	1
생각해보면 가축을 기르는데 고기는 코빼기도 안보이는 기막히는 게임입니다.	13.5	17	13	311	2019	1	1
라이브러리-스타듀밸리 우클릭-속성-베타-베타키입력-jumpingjunimos	26.3	18	3	724	2018	5	1
느긋하게하면 귀농 힐링게임이지만 빡세게하면 헬조선게임	26.9	16	7	8	2019	5	1
귀농생활이 이렇게 재미있을줄이야..	128.5	24	9	574	2016	4	1
저는 첫눈이 오면 늘 이 게임을 해요. 아주 오래전 겨울, 사랑하는 사람과 함께 멀티플레이를 했었거든요. 그 사람은 제 곁을 떠났지만 우리가 함께 해왔던 세이브파일을 하다보면 아직도 곁에 남아있는 듯 느껴져요. 당신, 잘 지내고 계신가요? 전 아직도 그대가 그리워요.	30.2	79	30	40	2020	9	1
오래동안 미루다 해보려했는데.. 손에서 도저히 놓을 수 없는 중독성 넘치는 게임..컨텐츠량도 상당히 방대하다!	201.2	20	1	154	2017	12	1
현실에선 게으른데 여기선 세상제일 부지런함.	204.0	21	36	54	2018	7	1
상당히 재밌습니다이벤트도 많고 할것도많고 굉장히 내용물이 알차요 가성비 좋습니다근데 지루합니다 한 두시간 하다보면 끄게됨 그리고 또 안키다가가끔 키면 또 두시간하고 끄게됨그래도 킹갓겜이니까 사십쇼 돈 제값합니다. 농장 경영 시뮬 게임 중 단연 원탑입니다	109.4	14	0	47	2019	9	1
다들 동물의 숲 대체품 정도로 생각하시는거 같은데 저는 스탸듀밸리 대체품으로 동숲을 했는걸요... 개인적으로 스타듀밸리 시리즈별로 쫘악 나왔으면 좋겠어요.... 제발...ㅠㅠㅠㅠ갑자기 3d로 만들지 말고 딱 이느낌 그대로 ....	262.0	21	0	28	2020	5	1
현대의 스프링쿨러의 소중함을 알수있는 갓겜	83.9	15	3	61	2018	4	1
힐링겜이라고 쓰고 하드코어 익스트림 농노 체험물이라고 읽는다	16.5	15	20	111	2018	1	1
와 타임머신..... 하루만 하고 자야지 하는데 막상 다음날 아침에 일어나서 조금 하다보면 또 하루 가있고 반복 ㅜㅜ	148.1	13	4	5314	2016	11	1
귀농하면서 여유를 즐기는 게임이라는데NPC 호감도랑 번들이 있으면 빠르게 전부 채우고 싶어서 여유를 부릴수가 없다게임 주제에 귀농한다고 마을촌장이 마을 발전 기부금(번들)을 반강요 한다	96.4	14	2	108	2019	10	1
재밌다길래 이런 그래픽의 게임이 뭐가 재밋다는거지 하고 잠깐 해본사이 120시간이 지나버렸다...미띤게임	136.7	22	8	18	2019	2	1
저도 어쩔 수 없는 한국인이라힐링 농장 게임을 샀는데 어느새 농사 시뮬레이터를 하고 있어요추천합니다	308.1	13	9	249	2017	9	1
투쟁과 생존경쟁, 머리빡 깨는 전투에 길들여진 한국인이라면 비추천.	35.1	15	8	180	2021	5	1
힐링,농사,미연시위에있는 세개를 좋아한다면 추천하는 게임스타듀밸리는 게임의 엔딩이 없다. 그렇기에 마을회관을 다시 되살리는것 외에는 뚜렷한 목표가없다.시스템 구성자체는 어려운점이 없어서 접근하기 쉽고 농장을 가꾸는 노하우만 있으면 농사로 때돈을 벌 수 있다.경쟁시스템도 마을의 이벤트를 할때 빼곤 경쟁요소도 없어서 여유롭게 즐길 수 있는 게임이다.농사게임이 그렇듯이 노가다가 좀많은 편이며 반복적인 일을 하루마다 반복해서 반복하는걸 싫어하는 사람에게는크게 추천하지는 않겠다.미연시 같은 시스템도 있긴하지만 텍스트가 제한적이라서 연애시스템만 보고 게임을 사는것도 별로 추천하지는 않는다.(연애시스템이 호감도가 일정수준을 넘어야 이벤트가 발생한다.)단점은 별로 없다.호불호가 있는 것 뿐이다.단점보단 장점이 정말많고 멀티도 내년이면 지원해준다니까 관심있으면 사보는것을 추천한다.	73.5	20	0	297	2017	9	1
행보관이 왜 작업을 그렇게 많이 시켰는지 조금 알 거 같다	200.5	13	17	47	2021	7	1
스듀는 ,, 인생이다	116.8	22	1	29	2021	6	1
하루 순삭하고싶을때 키면됨	51.2	14	42	309	2018	6	1
졸려 죽겠는데, 하루만 더 하루만 더 하다가 내 하루가 지나가는 게임이예요.	61.8	19	4	25	2021	2	1
개꿀 노현질 노동겜	227.4	17	2	2	2020	9	1
제 인생게임을 찾았습니다. 갓겜.	877.5	19	2	15	2020	11	1
현재 기준으로 5.3시간동안 스타듀 밸리를 즐긴 Maezi라고 합니다.찜 목록에 넣어뒀다가 마침 세일 기간이고, CS:GO 스킨 팔아두고 남은 돈으로 평가 좋던 스타듀 밸리 샀는데 진짜 개재밌습니다ㅠㅠㅠㅠㅠㅠㅠㅠ킬링타임이든 뭐든 꾸르잼여러분 무조건 처음에 냥이를 하십쇼 하루에 한 번 쓰다듬을 때 하트♥ 내놓는데 거업나 커엽습니다 ㅠㅠ	102.4	18	3	150	2016	11	1
3주동안 쉬지않고 키운 5년차세이브파일이 날아간 기분을 니들이 알어?물론 세이브파일 잘날라가는거 빼고는 단점이 없음 그단점이 너무크지만 업데이트를 너무 꾸준히해줘서 까기 미안해질정도...쩝	366.6	24	5	251	2018	11	1
컴퓨터 하루종일 바라보면서 이 게임 했는데 왠지 시골에 귀농한 느낌이 듭니다.	215.1	15	1	33	2021	7	1
구매하고 거진 3년이 지나서야 플레이를 해보았는데3일 밤 연속으로 새면서까지 플레이하게 한 게임은 이게 처음이다.농업은 적성에 안맞는줄 알았는데 역시 해보고서 말해야 하는갑다.	81.5	23	15	734	2019	1	1
게임은 소소하게 재밌습니다.. 근데 제 시간은 어디로 사라진거죠?	529.2	20	8	70	2020	1	1
이 겜 하려고 스팀가입했습니다	104.6	19	8	72	2018	4	1
한번 시작하면 헤어 나오지 못하는 게임..어느새 나도 (인 게임내에서) 가게에서 감자를 구입해서 내 집앞에 씨앗을 뿌리고 물주고 있네(?) 그리고 낚시로 시간 떼우고나면 하루 일과 끝이다..이 게임은 사고 키우고 수확해서 팔고 또 사고 키우고 수확해서 팔고 또는 잡고 팔고 잡고 버리고 팔고가 일상이다(?)	16.6	15	10	118	2019	12	1
Product received for free 마을주민들이 너무 띠꺼워	45.6	29	24	43	2020	2	1
800시간을 찍어버렸다...(...) 정말 재밌어요. ㅎㅎ스타듀밸리로 힐링하세요.	1963.7	16	3	11	2019	3	1
귀욤뽀짝게임~ 초반에 왕따 당하는거 빼면 잼씀ㅎ	381.3	19	9	39	2019	5	1
게임의 하드한 난이도에 지친 당신, 지금 이 게임이 필요할 때 입니다.정가로 주고 사도 후회하지 않을 게임으로, 생각 보다 즐길 수 있는 컨텐츠가 많습니다. 생활형 게임을 좋아하신다면 이 게임을 추천합니다.다만, 자신도 모르는 새에 몇 시간 이상이 지나 있을수도 있습니다.	121.0	16	1	186	2017	4	1
